time, itow, lat, lon, alt, speed, accuracy
21.973,574796708,49.3290732,8.5656899,183.1090113,0.238,7.587
22.073,574796808,49.3290725,8.5656887,183.000934,0.232,7.556
22.173,574796908,49.3290719,8.5656875,182.9047179,0.246,7.517
22.273,574797008,49.3290714,8.5656864,182.846311,0.245,7.486
22.373,574797108,49.3290708,8.5656854,182.7344208,0.239,7.447
22.473,574797208,49.3290704,8.5656841,182.6171344,0.233,7.418
22.573,574797308,49.3290697,8.5656824,182.4569008,0.262,7.388
22.673,574797408,49.3290693,8.5656813,182.3238866,0.253,7.358
22.773,574797508,49.3290688,8.5656803,182.2551832,0.245,7.327
22.873,574797608,49.3290681,8.5656793,182.1813319,0.237,7.287
22.973,574797708,49.3290672,8.5656781,182.0406635,0.251,7.258
23.073,574797808,49.3290664,8.5656765,181.8624694,0.28,7.238
23.173,574797908,49.3290656,8.5656754,181.6856495,0.271,7.208
23.273,574798008,49.3290649,8.5656743,181.5526131,0.272,7.177
23.373,574798108,49.3290646,8.5656741,181.5131484,0.281,7.148
23.473,574798208,49.3290641,8.5656733,181.4699226,0.325,7.129
23.573,574798308,49.3290634,8.5656731,181.3886542,0.292,7.108
23.673,574798408,49.3290623,8.5656714,181.1823752,0.295,7.078
23.773,574798508,49.3290613,8.5656699,181.0175043,0.286,7.048
23.873,574798608,49.32906,8.5656684,180.807121,0.29,7.018
23.973,574798708,49.3290588,8.5656667,180.6112911,0.302,6.988
24.073,574798808,49.3290578,8.5656651,180.4803017,0.299,6.959
24.173,574798908,49.3290568,8.5656637,180.3027257,0.28,6.938
24.273,574799008,49.3290554,8.5656617,180.0115667,0.309,6.908
24.373,574799108,49.3290543,8.5656599,179.7780964,0.305,6.878
24.473,574799208,49.3290533,8.5656584,179.5876253,0.288,6.847
24.573,574799308,49.3290523,8.5656567,179.433824,0.285,6.818
24.673,574799408,49.3290513,8.5656552,179.2187374,0.291,6.798
24.773,574799508,49.3290506,8.5656537,178.9755207,0.288,6.768
24.873,574799608,49.3290499,8.5656521,178.8267227,0.279,6.739
24.973,574799708,49.329049,8.5656503,178.5994085,0.291,6.718
25.073,574799808,49.3290481,8.5656483,178.378555,0.296,6.687
25.173,574799908,49.3290473,8.5656467,178.1682205,0.289,6.658
25.273,574800008,49.3290466,8.5656453,177.9657493,0.29,6.637
25.373,574800108,49.3290457,8.5656435,177.7176816,0.314,6.608
25.473,574800208,49.329045,8.5656423,177.5686088,0.301,6.587
25.573,574800308,49.3290443,8.5656409,177.4409434,0.291,6.558
25.673,574800408,49.3290437,8.5656392,177.2503495,0.296,6.537
25.773,574800508,49.329043,8.5656375,177.0836804,0.309,6.508
25.873,574800608,49.3290423,8.5656359,176.9355842,0.294,6.487
25.973,574800708,49.3290417,8.5656344,176.7976311,0.293,6.458
26.073,574800807,49.329041,8.5656329,176.7294534,0.284,6.439
26.173,574800908,49.3290404,8.5656311,176.5838049,0.27,6.418
26.273,574801010,49.3290397,8.5656293,176.5386724,0.273,6.388
26.373,574801110,49.3290386,8.5656274,176.4375085,0.302,6.368
26.473,574801210,49.3290377,8.5656256,176.2718597,0.287,6.348
26.573,574801310,49.3290368,8.5656239,176.1407339,0.292,6.328
26.673,574801410,49.3290359,8.5656224,176.0401726,0.292,6.307
26.773,574801510,49.329035,8.5656208,175.9302395,0.327,6.278
26.873,574801610,49.3290344,8.5656191,175.7822021,0.299,6.258
26.973,574801710,49.3290336,8.5656176,175.6647865,0.29,6.238
27.073,574801810,49.329033,8.5656161,175.4900181,0.283,6.218
27.173,574801910,49.3290319,8.5656144,175.3795543,0.295,6.198
27.273,574802010,49.3290311,8.5656129,175.2475409,0.282,6.177
27.373,574802110,49.3290303,8.5656113,175.1670401,0.281,6.148
27.473,574802210,49.3290295,8.5656098,175.0284782,0.285,6.128
27.573,574802310,49.3290289,8.5656081,174.8699596,0.298,6.108
27.673,574802410,49.3290283,8.5656065,174.7407485,0.307,6.088
27.773,574802510,49.3290278,8.565605,174.6487786,0.309,6.068
27.873,574802610,49.3290272,8.5656035,174.5272446,0.306,6.048
27.973,574802710,49.3290264,8.5656022,174.4332812,0.296,6.028
28.073,574802810,49.3290259,8.5656005,174.2192245,0.297,6.008
28.173,574802910,49.3290253,8.565599,174.0634384,0.305,5.988
28.273,574803010,49.3290247,8.5655975,173.8906729,0.314,5.968
28.373,574803110,49.329024,8.5655959,173.8060774,0.31,5.949
28.473,574803210,49.3290233,8.5655945,173.6293584,0.302,5.938
28.573,574803310,49.3290228,8.5655932,173.4917439,0.305,5.918
28.673,574803410,49.3290225,8.5655919,173.3921354,0.309,5.899
28.773,574803510,49.329022,8.5655907,173.2123762,0.312,5.888
28.873,574803610,49.3290215,8.5655893,173.0721536,0.34,5.869
28.973,574803710,49.3290212,8.5655881,172.9731879,0.348,5.858
29.073,574803810,49.3290208,8.565587,172.921276,0.347,5.838
29.173,574803910,49.3290205,8.565586,172.8595637,0.337,5.819
29.273,574804010,49.3290199,8.5655847,172.7747663,0.338,5.808
29.373,574804110,49.3290196,8.5655832,172.6309728,0.356,5.789
29.473,574804210,49.3290192,8.565582,172.4751237,0.349,5.778
29.573,574804310,49.3290187,8.5655804,172.3160639,0.362,5.758
29.673,574804410,49.3290182,8.5655791,172.1439979,0.368,5.739
29.773,574804510,49.3290177,8.5655778,171.9817011,0.368,5.728
29.873,574804610,49.3290175,8.5655766,171.8309089,0.376,5.709
29.973,574804710,49.3290173,8.5655753,171.7069348,0.391,5.698
30.073,574804810,49.3290169,8.5655742,171.5981148,0.391,5.679
30.173,574804910,49.3290165,8.565573,171.4727735,0.388,5.668
30.273,574805010,49.3290162,8.565572,171.2887503,0.408,5.649
30.373,574805110,49.3290159,8.5655709,171.1232778,0.425,5.638
30.473,574805210,49.3290155,8.5655699,170.9804825,0.406,5.619
30.573,574805310,49.3290151,8.5655692,170.8656152,0.397,5.608
30.673,574805410,49.3290147,8.5655683,170.7525681,0.408,5.589
30.773,574805510,49.3290143,8.5655673,170.5780349,0.415,5.578
30.873,574805610,49.3290138,8.5655663,170.4598406,0.424,5.559
30.973,574805710,49.3290134,8.5655654,170.3390751,0.417,5.548
31.073,574805810,49.3290131,8.5655644,170.2433293,0.416,5.529
31.173,574805910,49.3290125,8.5655634,170.1315067,0.408,5.518
31.273,574806010,49.329012,8.5655624,170.0246014,0.404,5.499
31.373,574806110,49.3290115,8.5655614,169.9285698,0.403,5.488
31.473,574806210,49.3290109,8.5655603,169.7852458,0.42,5.469
31.573,574806310,49.3290103,8.5655592,169.6977851,0.411,5.459
31.673,574806410,49.3290097,8.5655582,169.5775221,0.4,5.448
31.773,574806510,49.3290093,8.5655572,169.421397,0.401,5.429
31.873,574806610,49.3290089,8.5655563,169.3207851,0.392,5.418
31.973,574806710,49.3290086,8.5655556,169.2757332,0.371,5.399
32.073,574806810,49.3290082,8.5655549,169.1874766,0.363,5.389
32.173,574806910,49.3290078,8.5655537,168.9570875,0.378,5.378
32.273,574807010,49.3290075,8.5655528,168.8142641,0.374,5.359
32.373,574807110,49.3290071,8.565552,168.6564529,0.367,5.349
32.473,574807210,49.3290068,8.565551,168.5108706,0.374,5.338
32.573,574807310,49.3290065,8.5655501,168.3420631,0.372,5.319
32.673,574807410,49.3290061,8.5655491,168.1586915,0.378,5.309
32.773,574807510,49.3290057,8.565548,168.0248076,0.4,5.298
32.873,574807610,49.3290057,8.5655474,167.8848972,0.41,5.279
32.973,574807710,49.3290053,8.5655466,167.7371355,0.387,5.269
33.073,574807810,49.3290051,8.5655457,167.5462609,0.399,5.259
33.173,574807910,49.3290048,8.5655448,167.3000811,0.437,5.248
33.273,574808010,49.3290045,8.5655437,167.0887846,0.437,5.229
33.373,574808110,49.3290041,8.5655424,166.747746,0.48,5.219
33.473,574808210,49.3290038,8.5655413,166.4537812,0.501,5.209
33.573,574808310,49.3290035,8.5655398,166.1145823,0.544,5.198
33.673,574808410,49.3290033,8.5655389,165.936996,0.532,5.179
33.773,574808510,49.3290032,8.5655383,165.774909,0.5,5.169
33.873,574808610,49.3290027,8.5655373,165.6068453,0.505,5.159
33.973,574808710,49.3290027,8.5655362,165.4237032,0.52,5.149
34.073,574808810,49.3290027,8.5655351,165.2232958,0.541,5.138
34.173,574808910,49.3290025,8.5655344,165.1019722,0.521,5.119
34.273,574809010,49.3290021,8.5655337,164.9713034,0.518,5.109
34.373,574809110,49.3290019,8.565533,164.8782321,0.505,5.099
34.473,574809210,49.329002,8.5655324,164.8342847,0.486,5.089
34.573,574809310,49.3290019,8.5655314,164.663508,0.495,5.079
34.673,574809410,49.3290016,8.5655305,164.5187711,0.488,5.069
34.773,574809510,49.3290013,8.5655296,164.3978173,0.474,5.059
34.873,574809610,49.3290012,8.5655286,164.2334207,0.473,5.048
34.973,574809710,49.3290012,8.5655276,164.0963932,0.492,5.029
35.073,574809810,49.3290009,8.5655267,163.9495262,0.491,5.019
35.173,574809910,49.3290005,8.5655261,163.8098468,0.477,5.009
35.273,574810010,49.3290001,8.5655253,163.6917862,0.471,4.999
35.373,574810110,49.3289996,8.5655247,163.5044415,0.478,4.989
35.473,574810210,49.3289997,8.565524,163.3797185,0.488,4.979
35.573,574810310,49.3289994,8.5655234,163.1835965,0.471,4.969
35.673,574810410,49.3289992,8.5655226,163.043565,0.47,4.959
35.773,574810510,49.3289992,8.5655224,162.9982474,0.451,4.949
35.873,574810610,49.3289989,8.5655222,162.860889,0.444,4.939
35.973,574810710,49.3289988,8.5655214,162.690046,0.456,4.929
36.073,574810810,49.3289989,8.5655207,162.577061,0.47,4.919
36.173,574810910,49.328999,8.56552,162.4224539,0.481,4.909
36.273,574811010,49.3289988,8.5655196,162.2770257,0.464,4.899
